term_months,horizon,survival,n,is_mature,issue_quarter
36,36,0.873874712485883,71883,False,2017Q1
36,12,0.9355155387758142,76546,True,2017Q2
36,24,0.8904024038375731,76546,False,2017Q2
36,36,0.8904024038375731,76546,False,2017Q2
36,12,0.9354498246271827,87570,True,2017Q3
36,24,0.9128886966305448,87570,False,2017Q3
36,36,0.9128886966305448,87570,False,2017Q3
36,12,0.9448631224971815,82135,True,2017Q4
36,24,0.9413116117084915,82135,False,2017Q4
36,36,0.9413116117084915,82135,False,2017Q4
36,12,0.9638307037381537,74840,True,2018Q1
36,24,0.9633222684797071,74840,False,2018Q1
36,36,0.9633222684797071,74840,False,2018Q1
36,12,0.9779415709111394,90850,False,2018Q2
36,24,0.9779415709111394,90850,False,2018Q2
36,36,0.9779415709111394,90850,False,2018Q2
36,12,0.993326120554123,89080,False,2018Q3
36,24,0.993326120554123,89080,False,2018Q3
36,36,0.993326120554123,89080,False,2018Q3
36,12,0.9994711547056594,87593,False,2018Q4
36,24,0.9994711547056594,87593,False,2018Q4
36,36,0.9994711547056594,87593,False,2018Q4
60,12,0.9132738223337722,645,True,2010Q2
60,24,0.8258780276098496,645,True,2010Q2
60,36,0.7747905916691393,645,True,2010Q2
60,12,0.9402029580902327,1335,True,2010Q3
60,24,0.8671769303786964,1335,True,2010Q3
60,36,0.7999360383399577,1335,True,2010Q3
60,12,0.9357257248059399,1397,True,2010Q4
60,24,0.8622367585148323,1397,True,2010Q4
60,36,0.8089671650571368,1397,True,2010Q4
60,12,0.9409573117571144,1507,True,2011Q1
60,24,0.8661820255615333,1507,True,2011Q1
60,36,0.804745007340916,1507,True,2011Q1
60,12,0.9301315870163906,1937,True,2011Q2
60,24,0.8463708279356672,1937,True,2011Q2
60,36,0.7872071873626024,1937,True,2011Q2
60,12,0.9253200934685215,1918,True,2011Q3
60,24,0.8455284000572473,1918,True,2011Q3
60,36,0.78276603134033,1918,True,2011Q3
60,12,0.921558485579693,2244,True,2011Q4
60,24,0.8326327700558319,2244,True,2011Q4
60,36,0.759996784255677,2244,True,2011Q4
60,12,0.9151585860261462,1574,True,2012Q1
60,24,0.8198361659875741,1574,True,2012Q1
60,36,0.7148563460005507,1574,True,2012Q1
60,12,0.9212443473884515,1975,True,2012Q2
60,24,0.7944482179287484,1975,True,2012Q2
60,36,0.7152765332152391,1975,True,2012Q2
60,12,0.9226855744852659,2810,True,2012Q3
60,24,0.8203569282321673,2810,True,2012Q3
60,36,0.7278452184955811,2810,True,2012Q3
60,12,0.9234595257411544,3529,True,2012Q4
60,24,0.8183861880383649,3529,True,2012Q4
60,36,0.7290792217096519,3529,True,2012Q4
60,12,0.938352641231198,4716,True,2013Q1
60,24,0.8491091891942886,4716,True,2013Q1
60,36,0.760310046586379,4716,True,2013Q1
60,12,0.9279460175089126,7530,True,2013Q2
60,24,0.8262265357835034,7530,True,2013Q2
60,36,0.7344530602938155,7530,True,2013Q2
60,12,0.9311460725290986,10252,True,2013Q3
60,24,0.8397015986279867,10252,True,2013Q3
60,36,0.7587972799538695,10252,True,2013Q3
60,12,0.9331604278266311,11882,True,2013Q4
60,24,0.8367363246403127,11882,True,2013Q4
60,36,0.7449360539239794,11882,True,2013Q4
60,12,0.9389507177791425,13330,True,2014Q1
60,24,0.8372621088781756,13330,True,2014Q1
60,36,0.7377415840314191,13330,True,2014Q1
60,12,0.9297874985629035,17454,True,2014Q2
60,24,0.8266709906437687,17454,True,2014Q2
60,36,0.723732234613807,17454,True,2014Q2
60,12,0.9235567435511878,18119,True,2014Q3
60,24,0.8127720171254152,18119,True,2014Q3
60,36,0.7139983099287857,18119,True,2014Q3
60,12,0.9313952506048058,24100,True,2014Q4
60,24,0.8246527479400063,24100,True,2014Q4
60,36,0.733253983096702,24100,True,2014Q4
60,12,0.9231513653680595,27641,True,2015Q1
60,24,0.8124106678432477,27641,True,2015Q1
60,36,0.721417808123659,27641,True,2015Q1
60,12,0.9225491679756681,31500,True,2015Q2
60,24,0.8100761085131074,31500,True,2015Q2
60,36,0.7236096282993073,31500,True,2015Q2
60,12,0.9140858352053771,36758,True,2015Q3
60,24,0.8027979498793477,36758,True,2015Q3
60,36,0.7135471500184998,36758,True,2015Q3
60,12,0.9113418231596692,41532,True,2015Q4
60,24,0.7997548370139135,41532,True,2015Q4
60,36,0.7162768345463261,41532,True,2015Q4
60,12,0.9095918983789223,37596,True,2016Q1
60,24,0.7988072945144173,37596,True,2016Q1
60,36,0.7313132667599306,37596,True,2016Q1
60,12,0.9095403565925735,23098,True,2016Q2
60,24,0.8057686819125447,23098,True,2016Q2
60,36,0.7568610038659535,23098,False,2016Q2
60,12,0.9003899427665261,25021,True,2016Q3
60,24,0.7855844969064775,25021,True,2016Q3
60,36,0.7541671858037022,25021,False,2016Q3
60,12,0.9110961525996019,24444,True,2016Q4
60,24,0.8084269489180809,24444,True,2016Q4
60,36,0.7977577105977666,24444,False,2016Q4
60,12,0.9167262620402231,24220,True,2017Q1
60,24,0.8383385980799963,24220,True,2017Q1
60,36,0.8369876156754567,24220,False,2017Q1
60,12,0.9180801333027276,28178,True,2017Q2
60,24,0.8621490830404132,28178,False,2017Q2
60,36,0.8621490830404132,28178,False,2017Q2
60,12,0.9090029286203173,34211,True,2017Q3
60,24,0.8814654850154069,34211,False,2017Q3
60,36,0.8814654850154069,34211,False,2017Q3
60,12,0.9186926683935991,35701,True,2017Q4
60,24,0.9146363122342596,35701,False,2017Q4
60,36,0.9146363122342596,35701,False,2017Q4
60,12,0.9453271709700273,32171,True,2018Q1
60,24,0.944716466112608,32171,False,2018Q1
60,36,0.944716466112608,32171,False,2018Q1
60,12,0.9670470974457146,38963,False,2018Q2
60,24,0.9670470974457146,38963,False,2018Q2
60,36,0.9670470974457146,38963,False,2018Q2
60,12,0.9921091041861796,38352,False,2018Q3
60,24,0.9921091041861796,38352,False,2018Q3
60,36,0.9921091041861796,38352,False,2018Q3
60,12,0.9995698640769631,40006,False,2018Q4
60,24,0.9995698640769631,40006,False,2018Q4
60,36,0.9995698640769631,40006,False,2018Q4
