mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
28.332288424173992,8.173459008899782,0.14551321665445963,0.048115520014129824,0.01,0.1,"{'model__C': 0.01, 'model__l1_ratio': 0.1}",0.7111663567886716,0.6928281316706354,0.6880570481743071,0.6973505122112047,0.009961558796151487,10
31.239555915196735,5.71633671314146,0.1728388468424479,0.02838665065322087,0.01,0.5,"{'model__C': 0.01, 'model__l1_ratio': 0.5}",0.7105599859485141,0.6919804764174152,0.6874493514224346,0.6966632712627879,0.009999059379841418,11
13.672256390253702,6.086979146859261,0.15405686696370444,0.06352920123063742,0.01,0.9,"{'model__C': 0.01, 'model__l1_ratio': 0.9}",0.7104437146895047,0.6911000268198968,0.6869055132441722,0.6961497515845245,0.010251390863979887,12
23.23409303029378,12.542273900067313,0.16460498174031576,0.0706529441286935,0.1,0.1,"{'model__C': 0.1, 'model__l1_ratio': 0.1}",0.711266131325335,0.6930966440128752,0.6881698071247012,0.6975108608209705,0.009932238096785258,7
20.709651947021484,14.394280637735903,0.20637432734171549,0.13109447614682496,0.1,0.5,"{'model__C': 0.1, 'model__l1_ratio': 0.5}",0.7111622382809607,0.6930005888981906,0.6881409618118097,0.6974345963303202,0.009907576528374885,8
18.563489198684692,11.829795151506243,0.14692083994547525,0.05052226420222987,0.1,0.9,"{'model__C': 0.1, 'model__l1_ratio': 0.9}",0.7111366933219776,0.692912327425766,0.6880837390144048,0.6973775865873829,0.009926851804140858,9
24.042139450709026,11.291707594293067,0.15036233266194662,0.05962522371136102,1.0,0.1,"{'model__C': 1, 'model__l1_ratio': 0.1}",0.711306868245268,0.6931316034839006,0.688179483785364,0.6975393185048442,0.009942834665172758,4
22.826977173487347,11.624367544458552,0.15218488375345865,0.0851837665095615,1.0,0.5,"{'model__C': 1, 'model__l1_ratio': 0.5}",0.7112994566332513,0.6931228656510378,0.6881776740282171,0.6975333321041687,0.009941273173300008,5
21.220513264338177,10.82739457658468,0.1372535228729248,0.05060723126254946,1.0,0.9,"{'model__C': 1, 'model__l1_ratio': 0.9}",0.7112867068452623,0.6931142010743424,0.6881742884281125,0.6975250654492391,0.00993773162154057,6
22.178950707117718,9.660203464761372,0.1212462584177653,0.07408154807366032,10.0,0.1,"{'model__C': 10, 'model__l1_ratio': 0.1}",0.7113081843524153,0.6931350912914289,0.688181675191977,0.6975416502786072,0.009942239119620517,1
20.67651065190633,8.160682700879148,0.13897196451822916,0.06522410487901462,10.0,0.5,"{'model__C': 10, 'model__l1_ratio': 0.5}",0.7113075830275979,0.6931344075671992,0.6881811211846871,0.697541037259828,0.00994223644454542,2
18.45703347524007,6.912298224296762,0.10827898979187012,0.043972356565323244,10.0,0.9,"{'model__C': 10, 'model__l1_ratio': 0.9}",0.7113072965473783,0.6931333901204291,0.6881808380254058,0.697540508231071,0.009942343401599415,3
